Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Homo sapiens,Human associated cyclovirus 4,GCF_002820125.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:43Z,TN25,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Tunisia,Tunisia,NA,feces,2007,NA,ASM282012v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 4,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated circovirus 1,GCF_002819605.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:02:22Z,NG13,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,feces,2007,NA,ASM281960v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 1,GCF_002820065.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:37Z,PK5510,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,feces,2007,NA,ASM282006v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 7,GCF_002820185.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:51Z,NG14,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,feces,2007,NA,ASM282018v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 7,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 8,GCF_002820205.1,NA,"Tan Le,V., van Doorn,H.R., Nghia,H.D., Chau,T.T., Tu Le,T.P., de Vries,M., Canuti,M., Deijs,M., Jebbink,M.F., Baker,S., Bryant,J.E., Tham,N.T., Bkrong,N.T., Boni,M.F., Loi,T.Q., Phuong Le,T., Verhoeven,J.T., Crusat,M., Jeeninga,R.E., Schultsz,C., Chau,N.V., Hien,T.T., van der Hoek,L., Farrar,J., de Jong,M.D., Tan,L.V., Nghia,H.D.T., Chau,T.T.H., Tu,L.T.P., Chinh BKrong,N.T.T., Phuong,L.T., Verhoeven,J.T.P., Chau,N.V.V.",2018-08-25T01:10:23Z,hcf2,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Viet Nam,Viet Nam,NA,cerebrospinal fluid,2009,NA,ASM282020v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 8,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 5,GCF_002820145.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:46Z,PK5034,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,feces,2007,NA,ASM282014v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 5,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 6,GCF_002820165.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:48Z,NG12,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,feces,2007,NA,ASM282016v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 6,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human fecal virus Jorvi2,GCF_002219885.1,NA,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.",2017-07-16T01:01:28Z,Jorvi2,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Finland,Finland,NA,feces,NA,NA,ViralProj394289,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Human fecal virus Jorvi2,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human fecal virus Jorvi3,GCF_002219525.1,NA,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.",2017-07-16T01:00:47Z,Jorvi3,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Finland,Finland,NA,feces,NA,NA,ViralProj394288,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Human fecal virus Jorvi3,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human fecal virus Jorvi4,GCF_002219705.1,NA,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.",2017-07-16T01:01:12Z,Jorvi4,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Finland,Finland,NA,feces,NA,NA,ViralProj394287,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Human fecal virus Jorvi4,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human circovirus VS6600022,GCF_000924015.1,NA,"Smits,S.L., Schapendonk,C.M., van Beek,J., Vennema,H., Schurch,A.C., Schipper,D., Bodewes,R., Haagmans,B.L., Osterhaus,A.D., Koopmans,M.P., Schapendonk,C.M.E., Osterhaus,A.D.M.E., Koopmans,M.",2015-02-22T19:02:23Z,VS6600022,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Netherlands,Netherlands,NA,feces,NA,NA,ViralProj257742,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 12,GCF_001939215.2,NA,"Bouquet,J., Joshi,R., Chiu,C.Y.",2018-05-15T13:17:05Z,IECSF08,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,India,India,NA,cerebrospinal fluid,2007,NA,ViralProj360303,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 12,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 2,GCF_002820085.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-02-16T14:10:06Z,PK5006,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Pakistan,Pakistan,NA,feces,2007,NA,ASM282008v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Homo sapiens,Human associated cyclovirus 9,GCF_000908835.1,NA,"Smits,S.L., Zijlstra,E.E., van Hellemond,J.J., Schapendonk,C.M., Bodewes,R., Schurch,A.C., Haagmans,B.L., Osterhaus,A.D., Hellemond,J., Schapendonk,C.M.E., Schurch,A., Zijlstra,E., Osterhaus,A.D.M.E.",2015-02-22T18:41:55Z,VS5700009,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Malawi,Malawi,NA,blood,NA,NA,ViralProj209365,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Human associated cyclovirus 9,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Homo,Homo sapiens,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Ixodes scapularis,Tick associated circovirus 1,GCF_001651125.1,NA,"Tokarz,R., Lipkin,W.I.",2016-05-25T01:00:34Z,A1,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,USA,USA,NA,NA,2014,NA,ViralProj322193,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Tick associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Chelicerata,Arachnida,Arachnida,,Parasitiformes,Ixodoidea,Ixodes,Ixodes scapularis,Parasitiformes,,Ixodinae,Ixodoidea,,Acari,,,,,,
Labidocera aestiva,Labidocera aestiva circovirus,GCF_000906535.1,NA,"Dunlap,D.S., Ng,T.F., Rosario,K., Barbosa,J.G., Greco,A.M., Breitbart,M., Hewson,I., Dunlap,D., Ng,T.F.F., Barbosa,J.",2015-02-22T18:39:48Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA: Tampa Bay,USA,FL,NA,2009-04,NA,ViralProj186433,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Labidocera aestiva circovirus,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,Neocopepoda,Gymnoplea,Pontellidae,Labidocera,Labidocera aestiva,Gymnoplea,,,,,Copepoda,,,,,,
Laridae,Gull circovirus,GCF_000870205.1,NA,"Todd,D., Scott,A.N., Fringuelli,E., Shivraprasad,H.L., Gavier-Widen,D., Smyth,J.A., Scott,A.N.J.",2015-02-13T08:33:18Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj18019,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Gull circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Charadriiformes,Laridae,,,,,,,,,,,,,,
Leptuca,Fiddler Crab associated circular virus,GCF_001274425.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:07:42Z,I0086a,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293713,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Fiddler Crab associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Ocypodoidea,Leptuca,,Eucarida,Pleocyemata,Gelasiminae,Ocypodoidea,,Eumalacostraca,,Brachyura,,,,
Littorina sp.,Littorina sp. associated circular virus,GCF_001274165.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:04:22Z,I0041,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293706,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Littorina sp. associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Gastropoda,Gastropoda,,Littorinimorpha,Littorinoidea,Littorina,Littorina sp.,,,,Littorinoidea,,Caenogastropoda,,,,,,
Lytechinus variegatus,Lytechinus variegatus variable sea urchin associated circular virus,GCF_001274505.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:08:52Z,I0021,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293734,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Lytechinus variegatus variable sea urchin associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Echinodermata,,Echinozoa,Echinozoa,,Echinacea,Toxopneustidae,Lytechinus,Lytechinus variegatus,Echinacea,,,,,Euechinoidea,,,,,,
Meles meles,Meles meles circovirus-like virus,GCF_003985485.1,NA,"van den Brand,J.M., van Leeuwen,M., Schapendonk,C.M., Simon,J.H., Haagmans,B.L., Osterhaus,A.D., Smits,S.L., van den Brand,J.M.A., Osterhaus,A.D.M.E.",2019-02-12T13:12:25Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Netherlands,Netherlands,NA,feces,2008,NA,ASM398548v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Meles meles circovirus-like virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Mustelidae,Meles,Meles meles,Laurasiatheria,Caniformia,Melinae,,,,,,,,,
Molossus molossus,Molossus molossus circovirus 1,GCF_004045975.1,NA,"Salmier,A., Tirera,S., de Thoisy,B., Franc,A., Darcissac,E., Donato,D., Bouchier,C., Lacoste,V., Lavergne,A., Alain,F.",2019-02-12T13:19:00Z,MmoCV_MF_77202,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,French Guiana,French Guiana,NA,NA,NA,NA,ASM404597v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Molossus molossus circovirus 1,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Molossidae,Molossus,Molossus molossus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Molossus molossus,Molossus molossus circovirus 2,GCF_004045955.1,NA,"Salmier,A., Tirera,S., de Thoisy,B., Franc,A., Darcissac,E., Donato,D., Bouchier,C., Lacoste,V., Lavergne,A., Alain,F.",2019-02-12T13:18:47Z,MmoCV_MF_110233,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,French Guiana,French Guiana,NA,NA,NA,NA,ASM404595v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Molossus molossus circovirus 2,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Molossidae,Molossus,Molossus molossus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Molossus molossus,Molossus molossus circovirus 4,GCF_004045915.1,NA,"Salmier,A., Tirera,S., de Thoisy,B., Franc,A., Darcissac,E., Donato,D., Bouchier,C., Lacoste,V., Lavergne,A., Alain,F.",2019-02-12T13:20:50Z,MmoCV_MU_36925,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,French Guiana,French Guiana,NA,NA,NA,NA,ASM404591v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Molossus molossus circovirus 4,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Molossidae,Molossus,Molossus molossus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Molossus molossus,Molossus molossus circovirus 3,GCF_004045935.1,NA,"Salmier,A., Tirera,S., de Thoisy,B., Franc,A., Darcissac,E., Donato,D., Bouchier,C., Lacoste,V., Lavergne,A., Alain,F.",2019-02-12T13:18:06Z,MmoCV_MF_180744,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,French Guiana,French Guiana,NA,NA,NA,NA,ASM404593v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Molossus molossus circovirus 3,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Molossidae,Molossus,Molossus molossus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Mus musculus,Mouse associated cyclovirus 1,GCF_001866815.1,NA,"Li,L., Delwart,E.",2016-11-06T01:00:16Z,Cyclo-sf1,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,USA,USA,NA,"spleen, abdominal cavity",2014-10-01,NA,ViralProj352519,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Mouse associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Mus,Mus musculus,Euarchontoglires,Myomorpha,Murinae,,,,,,,Mus,,
Mustela lutreola,Mink circovirus,GCF_000918015.1,NA,"Lian,H., Liu,Y., Li,N., Wang,Y., Zhang,S., Hu,R.",2015-02-22T18:53:53Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,abdominal cavity,2013-10-30,NA,ViralProj243493,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Mink circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Mustelidae,Mustela,Mustela lutreola,Laurasiatheria,Caniformia,Mustelinae,,,,,,,,,
Myotis davidii,Circovirus sp.,GCF_002375075.1,NA,"Wang,Y.",2017-09-27T15:49:07Z,DaiShan,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,NA,2015-07-30,NA,ASM237507v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Circovirus sp.,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Vespertilionidae,Myotis,Myotis davidii,Laurasiatheria,Microchiroptera,,,,,,,,,,
Myotis ricketti,Bat associated circovirus 8,GCF_002819565.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:11Z,BtMr-CV/GD2012,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2012-12,NA,ASM281956v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 8,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Vespertilionidae,Myotis,Myotis ricketti,Laurasiatheria,Microchiroptera,,,,,,,,,,
Myotis sp.,Bat associated cyclovirus 11,GCF_002819785.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:57Z,BtMspp.-CV/GD2012,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2012-12,NA,ASM281978v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 11,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Vespertilionidae,Myotis,Myotis sp.,Laurasiatheria,Microchiroptera,,,,,,,,,,
Mytilus sp.,Mytilus sp. clam associated circular virus,GCF_001274385.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:07:24Z,I0169,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293732,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Mytilus sp. clam associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,,Mytilida,Mytiloidea,Mytilus,Mytilus sp.,,,Mytilinae,Mytiloidea,,Autobranchia,,,,,,
Neodon clarkei,Rodent associated circovirus 1,GCF_004787955.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:00Z,RtMc-CV-1/Tibet2014,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2014-12,NA,ASM478795v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Cricetidae,Neodon,Neodon clarkei,Euarchontoglires,Myomorpha,Arvicolinae,,,,,,,,,
